city,zipcode,lat,lng,environment_score,leisure+accessibility_score,cost_of_living_score,edu_score,job_score,safety_score
"New York, NY",10004,40.730646,-73.986614,47.0,90.60000000000001,0.0,78.31719128329298,70.43842682140556,87.62911361998557
"Los Angeles, CA",90004,34.143916,-118.761144,13.5,49.5,20.010000000000005,60.835351089588386,68.69761444229529,77.63631996156617
"Chicago, IL",60604,41.875555,-87.624421,24.0,85.39999999999999,22.659999999999997,74.05569007263924,72.77562862669245,85.79149651693491
"Houston, TX",77005,29.758938,-95.367697,55.0,63.06666666666666,36.91,60.82324455205812,82.86589297227594,81.09536392024981
"Phoenix, AZ",85007,33.448587,-112.077346,22.5,62.53333333333333,30.590000000000003,63.28087167070219,86.20245003223727,86.3439827047802
"Philadelphia, PA",19106,39.952399,-75.16359,53.5,81.3,21.739999999999995,73.35351089588379,71.88910380399743,79.54600048042278
"San Antonio, TX",78204,29.4246,-98.49514,35.0,72.96666666666667,37.44,56.06537530266345,80.86718246292715,87.6891664664905
"San Diego, CA",92104,32.717421,-117.162771,8.5,79.86666666666666,25.33,81.56174334140437,92.90780141843972,91.72471775162143
"Dallas, TX",75204,32.776272,-96.796856,37.5,71.73333333333333,32.97,65.04842615012106,80.68987749838814,77.66034110016814
"San Jose, CA",95113,37.336191,-121.890583,22.5,82.5,25.870000000000005,100.0,93.214055448098,91.85683401393227
"Jacksonville, FL",32206,30.332184,-81.655651,17.5,59.03333333333333,29.730000000000004,65.47215496368038,87.68536428110896,85.62334854672112
"Columbus, OH",43203,39.96226,-83.000706,46.5,69.89999999999999,29.680000000000007,71.13801452784504,77.98194713088331,80.56689887100647
"Charlotte, NC",28205,35.227087,-80.843127,13.5,59.93333333333334,28.75,69.89104116222761,86.68600902643456,93.95868364160461
"San Francisco, CA",94105,37.779281,-122.419236,8.5,91.10000000000001,5.790000000000006,97.74818401937047,96.93745970341715,85.95964448714868
"Seattle, WA",98104,47.603832,-122.330062,48.0,79.8,13.549999999999997,91.13801452784504,100.0,84.0379533989911
"Denver, CO",80205,39.739154,-104.984703,21.0,86.56666666666666,25.260000000000005,85.38740920096853,89.21663442940039,79.53398991112178
"Washington, DC",20004,38.894955,-77.036646,22.5,75.13333333333334,17.17,99.34624697336562,89.29722759509994,80.98726879654096
